State_Year,Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G,Count
2010_VA,2010,VA,14937195.0,14919831.0,379994.0,1251440.0,39340
2010_VT,2010,VT,1749898.0,1719870.0,28869.0,96858.0,5146
2010_WA,2010,WA,11919090.0,11820814.0,329616.0,1043788.0,95724
2010_WI,2010,WI,11289720.0,11116821.0,273807.0,872286.0,26786
2010_WY,2010,WY,1718605.0,1696177.0,26223.0,89009.0,2518
2011_AK,2011,AK,2357828.0,2443898.0,39110.0,131167.0,10100
2011_AL,2011,AL,7376725.0,7411768.0,217615.0,744621.0,28006
2011_AR,2011,AR,5176362.0,5669431.0,136959.0,483114.0,16946
2011_AZ,2011,AZ,8429186.0,8610417.0,320807.0,1080319.0,54204
2011_CA,2011,CA,70953331.0,69847705.0,1977069.0,6287834.0,672434
2011_CO,2011,CO,8747471.0,8676451.0,243411.0,854265.0,70592
2011_CT,2011,CT,9783168.0,9439182.0,171060.0,554437.0,23106
2011_DC,2011,DC,1283071.0,1297175.0,17261.0,73911.0,37250
2011_DE,2011,DE,1759170.0,1808905.0,38322.0,128946.0,4530
2011_FL,2011,FL,26453693.0,26991946.0,792054.0,2668156.0,284588
2011_GA,2011,GA,18030043.0,17187481.0,473766.0,1685016.0,106710
2011_HI,2011,HI,2499513.0,2259104.0,51598.0,182706.0,29502
2011_IA,2011,IA,6098470.0,6057294.0,145718.0,495870.0,14474
2011_ID,2011,ID,2089982.0,1960818.0,81809.0,279873.0,10528
2011_IL,2011,IL,29507584.0,28525858.0,629941.0,2083097.0,68450
2011_IN,2011,IN,12125155.0,11113533.0,316160.0,1040765.0,28620
2011_KS,2011,KS,5538869.0,5662146.0,137455.0,486108.0,11158
2011_KY,2011,KY,7104589.0,7253850.0,193392.0,681987.0,28544
2011_LA,2011,LA,8022917.0,8218870.0,184588.0,703390.0,56796
2011_MA,2011,MA,15396681.0,15150898.0,287055.0,953369.0,77436
2011_MD,2011,MD,13443940.0,13247697.0,259870.0,854086.0,49424
2011_ME,2011,ME,2654366.0,2728535.0,58923.0,188969.0,10890
2011_MI,2011,MI,19374026.0,18469948.0,500042.0,1573537.0,61714
2011_MN,2011,MN,10912368.0,10612480.0,264194.0,839738.0,38326
2011_MO,2011,MO,9915356.0,9842505.0,271208.0,916584.0,44338
2011_MS,2011,MS,4516742.0,4345783.0,134158.0,490619.0,11518
2011_MT,2011,MT,1631810.0,1655584.0,42624.0,142349.0,8870
2011_NC,2011,NC,14409515.0,13767024.0,433801.0,1507864.0,59984
2011_ND,2011,ND,1309044.0,1312226.0,29758.0,97646.0,2960
2011_NE,2011,NE,3879388.0,3676326.0,87792.0,301296.0,16820
2011_NH,2011,NH,2947007.0,3001244.0,62268.0,191900.0,7032
2011_NJ,2011,NJ,26242376.0,25716298.0,394133.0,1356431.0,61990
2011_NM,2011,NM,3591330.0,3694437.0,97744.0,337225.0,19600
2011_NV,2011,NV,4146577.0,4258855.0,130252.0,439634.0,44492
2011_NY,2011,NY,57753776.0,59446908.0,831712.0,2704718.0,282142
2011_OH,2011,OH,23488657.0,23010396.0,522804.0,1740030.0,62734
2011_OK,2011,OK,5835133.0,5644988.0,175383.0,666120.0,22384
2011_OR,2011,OR,6112484.0,6317635.0,176898.0,568208.0,86920
2011_PA,2011,PA,28492510.0,28810721.0,565203.0,1771395.0,70044
2011_RI,2011,RI,2212352.0,2198940.0,45195.0,142854.0,5230
2011_SC,2011,SC,7772777.0,7961448.0,207797.0,727186.0,24176
2011_SD,2011,SD,1297661.0,1350617.0,37487.0,128016.0,3658
2011_TN,2011,TN,8679893.0,8961443.0,286944.0,999693.0,45410
2011_TX,2011,TX,51023159.0,52691826.0,1363618.0,5000470.0,190318
2011_UT,2011,UT,4141253.0,4195916.0,164296.0,598832.0,14742
2011_VA,2011,VA,14655345.0,14675815.0,376658.0,1257883.0,43698
2011_VT,2011,VT,1686499.0,1722515.0,27762.0,89908.0,5194
2011_WA,2011,WA,11905941.0,11928408.0,327269.0,1045453.0,94264
2011_WI,2011,WI,11664303.0,11440718.0,268295.0,871105.0,26342
2011_WY,2011,WY,1650621.0,1656850.0,26042.0,90099.0,4734
2012_AK,2012,AK,2383402.0,2483320.0,38420.0,131489.0,9280
2012_AL,2012,AL,7136949.0,7222161.0,217203.0,744637.0,25764
2012_AR,2012,AR,5169926.0,5299969.0,138428.0,486157.0,19328
2012_AZ,2012,AZ,7934798.0,8054662.0,321634.0,1089384.0,55744
2012_CA,2012,CA,69016392.0,70191877.0,1965168.0,6299451.0,643038
2012_CO,2012,CO,8616009.0,8472536.0,246051.0,863561.0,77868
2012_CT,2012,CT,10070907.0,9791336.0,170245.0,550954.0,21276
2012_DC,2012,DC,1331006.0,1189542.0,17577.0,76140.0,38138
2012_DE,2012,DE,1855867.0,1915966.0,38022.0,129026.0,4564
2012_FL,2012,FL,24139266.0,25352047.0,799602.0,2692162.0,271558
2012_GA,2012,GA,17559894.0,17400209.0,481043.0,1703332.0,102030
2012_HI,2012,HI,2535038.0,2344733.0,51069.0,184760.0,29794
2012_IA,2012,IA,6262807.0,6256926.0,144784.0,499825.0,13374
2012_ID,2012,ID,1981482.0,1911706.0,82631.0,284834.0,9400
2012_IL,2012,IL,29900021.0,29067543.0,624679.0,2072880.0,67694
2012_IN,2012,IN,12395432.0,11351906.0,316329.0,1041369.0,28590
2012_KS,2012,KS,5613619.0,5615714.0,137855.0,489043.0,11786
2012_KY,2012,KY,7192430.0,7444529.0,193961.0,685167.0,24316
