State_Year,Year,State,Other,Sheltered,Unsheltered
2011_OH,2011,OH,31367,26295,5072
2011_OK,2011,OK,11192,7113,4079
2011_OR,2011,OR,43460,16511,26949
2011_PA,2011,PA,35022,31612,3410
2011_PR,2011,PR,13065,3246,9819
2011_RI,2011,RI,2615,2541,74
2011_SC,2011,SC,12088,6759,5329
2011_SD,2011,SD,1829,1665,164
2011_TN,2011,TN,22705,14370,8335
2011_TX,2011,TX,95159,46815,48344
2011_UT,2011,UT,7371,6252,1119
2011_VA,2011,VA,21849,17598,4251
2011_VI,2011,VI,1486,316,1170
2011_VT,2011,VT,2597,2291,306
2011_WA,2011,WA,47132,33943,13189
2011_WI,2011,WI,13171,12144,1027
2011_WV,2011,WV,5322,3424,1898
2011_WY,2011,WY,2367,483,1884
2012_AK,2012,AK,4640,4185,455
2012_AL,2012,AL,12882,8411,4471
2012_AR,2012,AR,9664,3751,5913
2012_AZ,2012,AZ,27872,18667,9205
2012_CA,2012,CA,321519,107208,214311
2012_CO,2012,CO,38934,16888,22046
2012_CT,2012,CT,10638,8541,2097
2012_DC,2012,DC,19069,16562,2507
2012_DE,2012,DE,2282,2214,68
2012_FL,2012,FL,135779,46677,89102
2012_GA,2012,GA,51015,20586,30429
2012_GU,2012,GU,3085,380,2705
2012_HI,2012,HI,14897,7974,6923
2012_IA,2012,IA,6687,6201,486
2012_ID,2012,ID,4700,3370,1330
2012_IL,2012,IL,33847,25399,8448
2012_IN,2012,IN,14295,12025,2270
2012_KS,2012,KS,5893,5228,665
2012_KY,2012,KY,12158,9853,2305
2012_LA,2012,LA,22229,8768,13461
2012_MA,2012,MA,40293,38130,2163
2012_MD,2012,MD,22339,13515,8824
2012_ME,2012,ME,5368,5298,70
2012_MI,2012,MI,28941,23061,5880
2012_MN,2012,MN,19233,16443,2790
2012_MO,2012,MO,25227,18907,6320
2012_MS,2012,MS,6072,2289,3783
2012_MT,2012,MT,4765,2879,1886
2012_NC,2012,NC,31703,20113,11590
2012_ND,2012,ND,1708,1570,138
2012_NE,2012,NE,8829,6793,2036
2012_NH,2012,NH,3667,3134,533
2012_NJ,2012,NJ,28694,24757,3937
2012_NM,2012,NM,8979,6222,2757
2012_NV,2012,NV,21673,9829,11844
2012_NY,2012,NY,153887,140256,13631
2012_OH,2012,OH,33162,28260,4902
2012_OK,2012,OK,11606,6959,4647
2012_OR,2012,OR,39616,15156,24460
2012_PA,2012,PA,35140,30883,4257
2012_PR,2012,PR,13042,3223,9819
2012_RI,2012,RI,2958,2902,56
2012_SC,2012,SC,11429,6100,5329
2012_SD,2012,SD,2118,1954,164
2012_TN,2012,TN,24669,14781,9888
2012_TX,2012,TX,85768,41246,44522
2012_UT,2012,UT,8270,6999,1271
2012_VA,2012,VA,21021,16801,4220
2012_VI,2012,VI,1387,217,1170
2012_VT,2012,VT,2885,2273,612
2012_WA,2012,WA,46909,33605,13304
2012_WI,2012,WI,13567,12139,1428
2012_WV,2012,WV,5908,3715,2193
2012_WY,2012,WY,4841,1276,3565
2013_AK,2013,AK,4470,3946,524
2013_AL,2013,AL,11605,7445,4160
2013_AR,2013,AR,9290,3996,5294
2013_AZ,2013,AZ,24722,16803,7919
2013_CA,2013,CA,316223,106496,209727
2013_CO,2013,CO,23753,17326,6427
2013_CT,2013,CT,11329,8681,2648
2013_DC,2013,DC,18283,16273,2010
2013_DE,2013,DE,2123,2094,29
2013_FL,2013,FL,120523,45414,75109
2013_GA,2013,GA,41911,19792,22119
2013_GU,2013,GU,3154,260,2894
2013_HI,2013,HI,15588,8270,7318
2013_IA,2013,IA,7051,6636,415
2013_ID,2013,ID,4312,3300,1012
2013_IL,2013,IL,31265,25300,5965
2013_IN,2013,IN,14095,12276,1819
2013_KS,2013,KS,5628,5080,548
2013_KY,2013,KY,12179,10028,2151
2013_LA,2013,LA,13257,8175,5082
2013_MA,2013,MA,43541,40992,2549
2013_MD,2013,MD,20043,14853,5190
2013_ME,2013,ME,6548,6410,138
2013_MI,2013,MI,26366,20955,5411
2013_MN,2013,MN,19477,16886,2591
2013_MO,2013,MO,20963,15437,5526
2013_MS,2013,MS,5966,2431,3535
2013_MT,2013,MT,4519,2436,2083
2013_NC,2013,NC,29143,20564,8579
2013_ND,2013,ND,4737,1544,3193
2013_NE,2013,NE,7301,6789,512
2013_NH,2013,NH,3529,2872,657
2013_NJ,2013,NJ,27018,23320,3698
2013_NM,2013,NM,6931,5577,1354
2013_NV,2013,NV,16316,8627,7689
2013_NY,2013,NY,172153,158517,13636
2013_OH,2013,OH,29368,25438,3930
2013_OK,2013,OK,10691,7522,3169
2013_OR,2013,OR,35224,15019,20205
2013_PA,2013,PA,34996,30764,4232
2013_PR,2013,PR,12598,3366,9232
2013_RI,2013,RI,3367,3025,342
2013_SC,2013,SC,14690,7453,7237
2013_SD,2013,SD,2747,1758,989
2013_TN,2013,TN,24485,15694,8791
2013_TX,2013,TX,74178,41393,32785
2013_UT,2013,UT,7789,6706,1083
2013_VA,2013,VA,18681,15581,3100
2013_VI,2013,VI,1171,240,931
2013_VT,2013,VT,3470,2931,539
2013_WA,2013,WA,41230,28624,12606
2013_WI,2013,WI,13802,12766,1036
2013_WV,2013,WV,5673,4016,1657
2013_WY,2013,WY,2531,1344,1187
2014_AK,2014,AK,4158,3712,446
2014_AL,2014,AL,11122,8052,3070
2014_AR,2014,AR,7271,3396,3875
2014_AZ,2014,AZ,23766,17119,6647
2014_CA,2014,CA,302156,99749,202407
2014_CO,2014,CO,24051,18188,5863
2014_CT,2014,CT,11625,8977,2648
2014_DC,2014,DC,19960,18467,1493
2014_DE,2014,DE,2077,1981,96
2014_FL,2014,FL,103614,45932,57682
2014_GA,2014,GA,40493,18965,21528
2014_GU,2014,GU,2882,258,2624
2014_HI,2014,HI,17031,8271,8760
2014_IA,2014,IA,6934,6337,597
2014_ID,2014,ID,4911,3281,1630
2014_IL,2014,IL,30424,25751,4673
2014_IN,2014,IN,13859,12793,1066
2014_KS,2014,KS,5918,5321,597
2014_KY,2014,KY,12232,10072,2160
2014_LA,2014,LA,11201,7862,3339
2014_MA,2014,MA,50360,48202,2158
2014_MD,2014,MD,19846,15359,4487
2014_ME,2014,ME,6092,5840,252
2014_MI,2014,MI,28162,22794,5368
2014_MN,2014,MN,19541,17205,2336
2014_MO,2014,MO,17891,15136,2755
2014_MS,2014,MS,5295,3189,2106
2014_MT,2014,MT,4286,2070,2216
2014_NC,2014,NC,27008,20170,6838
2014_ND,2014,ND,2897,1907,990
2014_NE,2014,NE,7145,6852,293
2014_NH,2014,NH,3599,3220,379
2014_NJ,2014,NJ,26770,24040,2730
2014_NM,2014,NM,7228,5874,1354
2014_NV,2014,NV,19610,10348,9262
2014_NY,2014,NY,178146,164625,13521
2014_OH,2014,OH,27844,24560,3284
2014_OK,2014,OK,10132,7623,2509
2014_OR,2014,OR,31010,14058,16952
2014_PA,2014,PA,35291,32206,3085
2014_PR,2014,PR,12477,3245,9232
2014_RI,2014,RI,2896,2844,52
2014_SC,2014,SC,11363,7097,4266
2014_SD,2014,SD,2138,1972,166
2014_TN,2014,TN,24362,16414,7948
2014_TX,2014,TX,70540,42494,28046
2014_UT,2014,UT,7323,6589,734
2014_VA,2014,VA,16702,14655,2047
2014_VI,2014,VI,1104,173,931
